CATALOGO,ETIQUETA,DESCRIPCION,IMAGEN
construccion,Construcción,Todo para la construcción,construccion.jpg
plomeria,Plomería,Todo para el agua,plomeria.jpg
gas,Gas,Todo para el gas,gas.jpg
electrico,Eléctrico,Todo para la instalacion electrica,gas1.jpg
hogar,Hogar,Todo para el hogar,construccion1.jpg
unomas,Uno más,uno más,construccion1.jpg
MARCA,MARCA,MARCA,MARCA
truper,TRUPER,Todo de la marca truper,construccion.jpg
pretul,PRETUL,Todo de la marca pretul,construccion.jpg
voltech,VOLTECH,Todo de la marca Voltech,construccion.jpg
cuervo,CUERVO,Todo de la marca Cuervo,construccion.jpg
